epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.30716,2.61336,3.59536,2.94765,0.00704,0.5,0.04146,0.02132,2.61424,4.90225,3.20423,0,0,0
2,4.60956,2.02215,3.71532,2.63049,0.00658,0.5,0.05528,0.02709,2.5382,4.75942,3.04542,1.40071e-05,1.40071e-05,1.40071e-05
3,5.62617,2.82462,3.89198,2.80776,0.00588,0.5,0.07107,0.0334,2.25883,4.43354,2.65673,2.74482e-05,2.74482e-05,2.74482e-05
4,6.61664,3.16619,4.98816,3.49172,0.00581,0.5,0.12437,0.05528,1.87508,4.36062,2.39421,4.03235e-05,4.03235e-05,4.03235e-05
5,8.52596,2.4319,4.07997,2.48765,0.0051,0.5,0.16583,0.06882,1.83929,4.00325,2.08425,5.26329e-05,5.26329e-05,5.26329e-05
6,9.65356,3.60625,3.87401,3.34753,0.00495,0.5,0.24875,0.10572,1.71727,4.01731,1.98508,6.43764e-05,6.43764e-05,6.43764e-05
7,10.8133,2.92909,4.07395,3.23359,0.00485,0.5,0.4975,0.21257,1.60895,4.06915,1.97651,7.55541e-05,7.55541e-05,7.55541e-05
8,12.2387,2.87177,3.66032,2.86321,0.0049,0.5,0.4975,0.20895,1.55363,4.03755,1.93743,8.61658e-05,8.61658e-05,8.61658e-05
9,14.0005,3.21541,3.55823,2.92202,0.00472,0.5,0.24875,0.08819,1.69028,4.1398,1.90269,9.62117e-05,9.62117e-05,9.62117e-05
10,16.7731,1.9577,3.80978,2.30192,0.01288,1,0.54273,0.11528,1.85678,4.21068,1.86433,0.000105692,0.000105692,0.000105692
11,18.0571,2.08637,3.7259,2.24031,0.01261,1,0.56857,0.13317,2.39982,4.0586,2.03602,0.000114606,0.000114606,0.000114606
12,19.1334,2.86192,3.92254,2.93148,0.01192,1,0.2985,0.09287,2.59812,3.84721,2.25843,0.000122954,0.000122954,0.000122954
13,20.2549,2.33691,3.74292,2.11876,0.0118,1,0.31094,0.09611,2.52673,3.92786,2.30889,0.000130736,0.000130736,0.000130736
14,21.2171,1.72117,4.36799,2.00001,0.01137,1,0.10934,0.03718,2.42641,3.83109,2.22247,0.000137953,0.000137953,0.000137953
15,22.2141,2.33335,3.41833,2.60066,0.01093,1,0.12437,0.03897,2.2951,3.60174,2.04736,0.000144603,0.000144603,0.000144603
16,23.1483,2.36742,3.49076,2.23378,0.01107,1,0.16583,0.07329,1.96788,3.66382,1.77368,0.000150688,0.000150688,0.000150688
17,24.008,1.94869,3.57148,2.14258,0.01087,1,0.14925,0.05463,1.84132,3.59515,1.71883,0.000156207,0.000156207,0.000156207
18,24.9979,2.32422,3.11136,2.20287,0.01087,1,0.14925,0.05463,1.84132,3.59515,1.71883,0.00016116,0.00016116,0.00016116
19,26.2401,2.39911,3.04799,2.45884,0.01063,1,0.13819,0.04901,1.80104,3.57008,1.68125,0.000165547,0.000165547,0.000165547
