epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.0728,2.19369,4.4634,2.35325,0.0035,0.07812,0.00265,0.00086,2.81043,5.0832,2.93645,1.428e-05,1.428e-05,1.428e-05
2,92.4541,2.1614,4.70742,2.32328,0.00845,0.15625,0.00718,0.00274,2.54601,5.00081,2.76045,3.49931e-05,3.49931e-05,3.49931e-05
3,132.617,1.92065,4.36886,2.09247,0.00786,0.21875,0.02463,0.00961,2.23663,4.90011,2.40574,5.4858e-05,5.4858e-05,5.4858e-05
4,173.034,1.87385,4.32186,2.13658,0.00644,0.26562,0.06408,0.03301,1.93674,4.83187,2.12792,7.38747e-05,7.38747e-05,7.38747e-05
5,215.207,1.80675,4.15106,2.0157,0.00441,0.26562,0.16844,0.10143,1.64948,4.70473,1.90087,9.20432e-05,9.20432e-05,9.20432e-05
6,256.709,1.78556,4.01378,1.99465,0.00347,0.25,0.18077,0.11992,1.57591,4.64567,1.8526,0.000109363,0.000109363,0.000109363
7,299.499,1.51632,3.78647,1.79537,0.00315,0.25,0.20227,0.13682,1.56521,4.63927,1.79944,0.000125835,0.000125835,0.000125835
8,346.448,1.53042,3.75213,1.86231,0.00301,0.25,0.20299,0.14372,1.54699,4.58543,1.75757,0.000141459,0.000141459,0.000141459
9,395.357,1.46211,3.65507,1.76757,0.00392,0.26786,0.20173,0.1452,1.50679,4.56043,1.71808,0.000156235,0.000156235,0.000156235
10,439.444,1.53533,3.49569,1.78565,0.00423,0.26786,0.1744,0.11781,1.54088,4.53684,1.74218,0.000170162,0.000170162,0.000170162
11,482.366,1.52328,3.32627,1.76458,0.00522,0.26786,0.18365,0.12544,1.59791,4.44526,1.8015,0.000183241,0.000183241,0.000183241
12,531.427,1.56238,3.10092,1.84388,0.00509,0.25,0.16924,0.11739,1.67805,4.38504,1.86024,0.000195472,0.000195472,0.000195472
13,575.591,1.55747,3.12197,1.76642,0.00659,0.26562,0.16274,0.11781,1.80766,4.22444,1.94587,0.000206854,0.000206854,0.000206854
14,621.222,1.45512,2.82675,1.68932,0.00718,0.26562,0.16244,0.12211,1.78286,4.08159,1.94457,0.000217389,0.000217389,0.000217389
15,663.705,1.41903,2.88126,1.66017,0.97155,0.07812,0.18546,0.14742,1.63226,3.83412,1.83748,0.000227075,0.000227075,0.000227075
16,707.882,1.57114,2.83357,1.80552,0.97196,0.07812,0.19268,0.15525,1.52669,3.75159,1.78493,0.000235913,0.000235913,0.000235913
17,754.453,1.3177,2.49995,1.67411,0.96171,0.07812,0.20312,0.15854,1.64631,3.7962,1.87286,0.000243902,0.000243902,0.000243902
18,822.439,1.41363,2.73002,1.66834,0.96348,0.07812,0.20747,0.16415,1.60349,3.71187,1.83734,0.000251044,0.000251044,0.000251044
19,867.962,1.40802,2.51799,1.64097,0.97242,0.10623,0.21795,0.17108,1.54289,3.62719,1.76971,0.000257337,0.000257337,0.000257337
20,907.57,1.50685,2.51923,1.72545,0.90663,0.19603,0.21694,0.1765,1.52272,3.59592,1.73708,0.000262782,0.000262782,0.000262782
21,947.296,1.34386,2.32636,1.55277,0.91098,0.23081,0.22404,0.17877,1.60188,3.52449,1.76697,0.000267379,0.000267379,0.000267379
22,987.818,1.37269,2.46709,1.59118,0.90213,0.23066,0.2298,0.18184,1.54096,3.41609,1.72255,0.000271127,0.000271127,0.000271127
23,1029.66,1.31776,2.29699,1.54842,0.90155,0.22816,0.2355,0.20505,1.45076,3.3696,1.70149,0.000274027,0.000274027,0.000274027
24,1072.3,1.20661,2.50378,1.59487,0.92822,0.21648,0.23505,0.19859,1.46437,3.34395,1.71321,0.00027608,0.00027608,0.00027608
25,1114.19,1.40762,2.20904,1.55539,0.92597,0.1869,0.23786,0.19582,1.51843,3.36064,1.76463,0.000277283,0.000277283,0.000277283
26,1155.18,1.25329,2.20959,1.52331,0.903,0.21875,0.23296,0.18816,1.56325,3.38388,1.75743,0.000277639,0.000277639,0.000277639
27,1195.98,1.11625,1.99759,1.44603,0.90167,0.21875,0.22592,0.17984,1.50896,3.26457,1.70174,0.000277146,0.000277146,0.000277146
28,1236.48,1.37079,2.38138,1.5619,0.91866,0.23392,0.23364,0.17327,1.56398,3.1402,1.75702,0.000275805,0.000275805,0.000275805
29,1277.25,1.17889,2.0708,1.49537,0.91866,0.23392,0.23364,0.17327,1.56398,3.1402,1.75702,0.000273616,0.000273616,0.000273616
30,1318.85,1.15045,2.10899,1.49565,0.87214,0.22173,0.23179,0.18699,1.51438,3.12475,1.73046,0.000270579,0.000270579,0.000270579
31,1360.04,1.24494,2.09194,1.51539,0.85239,0.23043,0.23796,0.18061,1.56195,3.12873,1.76877,0.000266693,0.000266693,0.000266693
32,1400.08,1.17475,2.11888,1.4711,0.85131,0.24978,0.23666,0.18687,1.51987,3.09519,1.72855,0.000261959,0.000261959,0.000261959
33,1442.65,1.13217,1.92984,1.47624,0.85131,0.24978,0.23666,0.18687,1.51987,3.09519,1.72855,0.000256377,0.000256377,0.000256377
34,1486.46,1.27562,2.02917,1.50356,0.90858,0.23402,0.23374,0.18871,1.4838,3.00714,1.71254,0.000247472,0.000247472,0.000247472
35,1528.17,1.19997,2.24165,1.54807,0.92531,0.23438,0.23117,0.18142,1.44097,2.94604,1.65639,0.000233335,0.000233335,0.000233335
36,1571,1.03267,1.9352,1.35091,0.92363,0.24405,0.23475,0.1884,1.39912,2.89935,1.63053,0.000219198,0.000219198,0.000219198
37,1614.09,1.12504,2.0271,1.44147,0.92363,0.24405,0.23475,0.1884,1.39912,2.89935,1.63053,0.000205061,0.000205061,0.000205061
38,1656.36,1.18428,2.05268,1.52069,0.8983,0.25,0.2411,0.19571,1.35292,2.8917,1.62041,0.000190924,0.000190924,0.000190924
39,1698.81,1.05437,1.96711,1.34513,0.84383,0.25166,0.24119,0.19282,1.39292,2.90952,1.65149,0.000176786,0.000176786,0.000176786
40,1743.5,1.02838,1.81607,1.31618,0.84167,0.25169,0.24147,0.19525,1.34861,2.8675,1.64602,0.000162649,0.000162649,0.000162649
41,2320.12,1.09111,2.76886,1.4108,0.84167,0.25169,0.24147,0.19525,1.34861,2.8675,1.64602,0.000148512,0.000148512,0.000148512
42,2375.66,1.1241,2.56175,1.47201,0.85078,0.28125,0.24276,0.19927,1.38799,2.84691,1.67308,0.000134375,0.000134375,0.000134375
43,2417.04,1.06431,2.45685,1.38517,0.85321,0.27634,0.24822,0.20624,1.36363,2.85448,1.61895,0.000120238,0.000120238,0.000120238
44,2459.44,1.0136,2.43942,1.41022,0.85328,0.25751,0.25354,0.21075,1.32923,2.83136,1.56198,0.0001061,0.0001061,0.0001061
45,2499.46,0.96913,2.23432,1.36224,0.85328,0.25751,0.25354,0.21075,1.32923,2.83136,1.56198,9.19632e-05,9.19632e-05,9.19632e-05
46,2540.03,0.98565,2.28891,1.35189,0.89177,0.23438,0.25664,0.21299,1.30118,2.79162,1.50821,7.7826e-05,7.7826e-05,7.7826e-05
47,2581.67,0.92849,2.24934,1.28904,0.94112,0.21875,0.25636,0.2175,1.27636,2.7324,1.49669,6.36888e-05,6.36888e-05,6.36888e-05
48,2623.13,0.90767,2.19649,1.28525,0.94649,0.22674,0.25861,0.23168,1.24156,2.67136,1.47713,4.95516e-05,4.95516e-05,4.95516e-05
49,2667.03,0.96914,2.23583,1.37827,0.94649,0.22674,0.25861,0.23168,1.24156,2.67136,1.47713,3.54144e-05,3.54144e-05,3.54144e-05
50,2709.78,0.8968,2.1627,1.26671,0.95254,0.23117,0.25964,0.23293,1.22853,2.61535,1.46481,2.12772e-05,2.12772e-05,2.12772e-05
